Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated,plot,cover_url,plot_combined,genre
1,tt2326554,2020-02-05,2020-02-05,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire.",A Girl Walks Home Alone at Night,https://www.imdb.com/title/tt2326554/,movie,6.9,101.0,2014,"Drama, Horror, Romance, Thriller",36188,2014-01-19,Ana Lily Amirpour,,,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire.",https://m.media-amazon.com/images/M/MV5BMjMzNjMyMjU2M15BMl5BanBnXkFtZTgwMzA3NjQ0MzE@.jpg,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire.
Drama, Horror, Romance, Thriller
Ana Lily Amirpour","Drama, Horror, Romance, Thriller"
2,tt1464580,2020-02-05,2020-02-05,"In a world of vampires, an expert vampire hunter and his young protégé travel toward sanctuary.",Stake Land,https://www.imdb.com/title/tt1464580/,movie,6.4,98.0,2010,"Drama, Horror, Sci-Fi",42970,2010-09-17,Jim Mickle,,,"In a world of vampires, an expert vampire hunter and his young protégé travel toward sanctuary.",https://m.media-amazon.com/images/M/MV5BMTg4NTYwNDc0MF5BMl5BanBnXkFtZTcwNDg1NzM5NA@@.jpg,"In a world of vampires, an expert vampire hunter and his young protégé travel toward sanctuary.
Drama, Horror, Sci-Fi
Jim Mickle","Drama, Horror, Sci-Fi"
3,tt0090163,2020-02-13,2020-02-13,"The effects of a nuclear holocaust on the working class city of Sheffield, England and the eventual long-term effects of nuclear war on civilization.",Threads,https://www.imdb.com/title/tt0090163/,tvMovie,8.0,112.0,1984,"Drama, Sci-Fi, Thriller",16407,1984-09-23,Mick Jackson,,,"The effects of a nuclear holocaust on the working class city of Sheffield, England and the eventual long-term effects of nuclear war on civilization.",https://m.media-amazon.com/images/M/MV5BODBhZjkyNTctNjZjNC00MWIxLWIyZjAtYjBjMjNkNTlmZGEzXkEyXkFqcGdeQXVyMTA1NTM1NDI2.jpg,"The effects of a nuclear holocaust on the working class city of Sheffield, England and the eventual long-term effects of nuclear war on civilization.
Drama, Sci-Fi, Thriller
Mick Jackson","Drama, Sci-Fi, Thriller"
4,tt6269368,2020-02-13,2020-02-13,A picture-perfect family is shattered when the work of a serial killer hits too close to home.,The Clovehitch Killer,https://www.imdb.com/title/tt6269368/,movie,6.5,109.0,2018,"Crime, Drama, Mystery, Thriller",28687,2018-09-22,Duncan Skiles,,,A picture-perfect family is shattered when the work of a serial killer hits too close to home.,https://m.media-amazon.com/images/M/MV5BNDBhYzMzZGQtYTIxOC00YjJhLWExZTEtOTUxN2JlNGQwMGZkXkEyXkFqcGdeQXVyODY3Nzc0OTk@.jpg,"A picture-perfect family is shattered when the work of a serial killer hits too close to home.
Crime, Drama, Mystery, Thriller
Duncan Skiles","Crime, Drama, Mystery, Thriller"
5,tt5774450,2020-02-13,2020-02-13,"After suspecting that their police officer neighbor is a serial killer, a group of teenage friends spend their summer spying on him and gathering evidence, but as they get closer to discovering the truth, things get dangerous.",Summer of 84,https://www.imdb.com/title/tt5774450/,movie,6.7,105.0,2018,"Drama, Horror, Mystery, Thriller",41945,2018-01-22,"François Simard, Anouk Whissell, Yoann-Karl Whissell",,,"After suspecting that their police officer neighbor is a serial killer, a group of teenage friends spend their summer spying on him and gathering evidence, but as they get closer to discovering the truth, things get dangerous.",https://m.media-amazon.com/images/M/MV5BMTJhMmQyZDAtZTg3Mi00NzQwLWJkZWEtNzE5MTZhMzIyYTM2XkEyXkFqcGdeQXVyMzQwMTY2Nzk@.jpg,"After suspecting that their police officer neighbor is a serial killer, a group of teenage friends spend their summer spying on him and gathering evidence, but as they get closer to discovering the truth, things get dangerous.
Drama, Horror, Mystery, Thriller
François Simard, Anouk Whissell, Yoann-Karl Whissell","Drama, Horror, Mystery, Thriller"
6,tt6491178,2020-02-13,2020-02-13,"Once two overzealous cops get suspended from the force, they must delve into the criminal underworld to get their proper compensation.",Dragged Across Concrete,https://www.imdb.com/title/tt6491178/,movie,6.9,158.0,2018,"Action, Thriller",47336,2018-09-03,S. Craig Zahler,,,"Once two overzealous cops get suspended from the force, they must delve into the criminal underworld to get their proper compensation.",https://m.media-amazon.com/images/M/MV5BMjE1MTk5NDQ5Ml5BMl5BanBnXkFtZTgwODUxNzg0NzM@.jpg,"Once two overzealous cops get suspended from the force, they must delve into the criminal underworld to get their proper compensation.
Action, Thriller
S. Craig Zahler","Action, Thriller"
7,tt0498399,2020-02-13,2020-02-13,A New York City nightclub manager tries to save his brother and father from Russian Mafia hitmen.,We Own the Night,https://www.imdb.com/title/tt0498399/,movie,6.8,117.0,2007,"Action, Crime, Drama, Thriller",89857,2007-05-25,James Gray,,,A New York City nightclub manager tries to save his brother and father from Russian Mafia hitmen.,https://m.media-amazon.com/images/M/MV5BMTY0MTQ5OTcyNF5BMl5BanBnXkFtZTcwMDE0NzUzMw@@.jpg,"A New York City nightclub manager tries to save his brother and father from Russian Mafia hitmen.
Action, Crime, Drama, Thriller
James Gray","Action, Crime, Drama, Thriller"
8,tt0189998,2020-02-15,2020-02-15,"The filming of Nosferatu, eine Symphonie des Grauens (1922) is hampered by the fact that its star Max Schreck is taking the role of a vampire far more seriously than seems humanly possible.",Shadow of the Vampire,https://www.imdb.com/title/tt0189998/,movie,6.9,92.0,2000,"Drama, Horror",42476,2000-05-15,E. Elias Merhige,,,"The filming of Nosferatu, eine Symphonie des Grauens (1922) is hampered by the fact that its star Max Schreck is taking the role of a vampire far more seriously than seems humanly possible.",https://m.media-amazon.com/images/M/MV5BMGYxZDEzMDMtMDIzNy00OTQ5LTkzYmItYzdkYTgxMGRkOWVmXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"The filming of Nosferatu, eine Symphonie des Grauens (1922) is hampered by the fact that its star Max Schreck is taking the role of a vampire far more seriously than seems humanly possible.
Drama, Horror
E. Elias Merhige","Drama, Horror"
9,tt0292963,2020-03-05,2020-03-05,"When two brothers organize the robbery of their parents' jewelry store the job goes horribly wrong, triggering a series of events that sends them, their father and one brother's wife barreling towards a shattering climax.",Before the Devil Knows You're Dead,https://www.imdb.com/title/tt0292963/,movie,7.3,117.0,2007,"Crime, Drama, Thriller",105400,2007-09-07,Sidney Lumet,,,"When two brothers organize the robbery of their parents' jewelry store the job goes horribly wrong, triggering a series of events that sends them, their father and one brother's wife barreling towards a shattering climax.",https://m.media-amazon.com/images/M/MV5BMTQ1NzM2ODQxNF5BMl5BanBnXkFtZTcwMDczMDU1MQ@@.jpg,"When two brothers organize the robbery of their parents' jewelry store the job goes horribly wrong, triggering a series of events that sends them, their father and one brother's wife barreling towards a shattering climax.
Crime, Drama, Thriller
Sidney Lumet","Crime, Drama, Thriller"
10,tt7347846,2020-03-22,2020-03-22,"A soon-to-be stepmom is snowed in with her fiancé's two children at a remote holiday village. Just as relations begin to thaw between the trio, some strange and frightening events take place.",The Lodge,https://www.imdb.com/title/tt7347846/,movie,6.0,108.0,2019,"Drama, Horror, Mystery, Thriller",49104,2019-01-25,"Veronika Franz, Severin Fiala",,,"A soon-to-be stepmom is snowed in with her fiancé's two children at a remote holiday village. Just as relations begin to thaw between the trio, some strange and frightening events take place.",https://m.media-amazon.com/images/M/MV5BNDQ2YWVmZjEtMTE1ZS00MDk1LTg5ODUtMDVlODk0OTM2ODMwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg,"A soon-to-be stepmom is snowed in with her fiancé's two children at a remote holiday village. Just as relations begin to thaw between the trio, some strange and frightening events take place.
Drama, Horror, Mystery, Thriller
Veronika Franz, Severin Fiala","Drama, Horror, Mystery, Thriller"
11,tt8228288,2020-03-22,2020-03-22,A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.,El hoyo,https://www.imdb.com/title/tt8228288/,movie,7.0,94.0,2019,"Horror, Sci-Fi, Thriller",227724,2019-09-06,Galder Gaztelu-Urrutia,,,A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.,https://m.media-amazon.com/images/M/MV5BMzllNmRjYWItNjlhNS00MjcyLWIyODEtMTg0ZjBiNTNhNzQwXkEyXkFqcGdeQXVyMTAyOTE2ODg0.jpg,"A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.
Horror, Sci-Fi, Thriller
Galder Gaztelu-Urrutia","Horror, Sci-Fi, Thriller"
12,tt8193790,2020-03-22,2020-03-22,A man's obsession with his designer deerskin jacket causes him to blow his life savings and turn to crime.,Le daim,https://www.imdb.com/title/tt8193790/,movie,6.6,77.0,2019,"Comedy, Horror",10112,2019-05-15,Quentin Dupieux,8.0,2021-12-02,A man's obsession with his designer deerskin jacket causes him to blow his life savings and turn to crime.,https://m.media-amazon.com/images/M/MV5BMWNhNDc5MTQtZmI5MS00Y2Y3LWExNTgtNTIyY2VlZDQ5NTA3XkEyXkFqcGdeQXVyMzExODEzNDA@.jpg,"A man's obsession with his designer deerskin jacket causes him to blow his life savings and turn to crime.
Comedy, Horror
Quentin Dupieux","Comedy, Horror"
13,tt0873886,2020-03-26,2020-03-26,"Set in Middle America, a group of teens receive an online invitation for sex, though they soon encounter fundamentalists with a much more sinister agenda.",Red State,https://www.imdb.com/title/tt0873886/,movie,6.1,88.0,2011,"Action, Crime, Horror, Thriller",65120,2011-01-23,Kevin Smith,,,"Set in Middle America, a group of teens receive an online invitation for sex, though they soon encounter fundamentalists with a much more sinister agenda.",https://m.media-amazon.com/images/M/MV5BMTQyNjMwMzA1MV5BMl5BanBnXkFtZTcwMzQyNDAxNg@@.jpg,"Set in Middle America, a group of teens receive an online invitation for sex, though they soon encounter fundamentalists with a much more sinister agenda.
Action, Crime, Horror, Thriller
Kevin Smith","Action, Crime, Horror, Thriller"
14,tt3666210,2020-07-01,2020-07-01,"Two women descend into madness after an alleged meteor strike sets off a series of strange events in their town of Troy, N.Y.",H.,https://www.imdb.com/title/tt3666210/,movie,5.9,93.0,2014,"Drama, Sci-Fi, Thriller",537,2014-08-28,"Daniel Garcia, Rania Attieh",,,"Two women descend into madness after an alleged meteor strike sets off a series of strange events in their town of Troy, N.Y.",https://m.media-amazon.com/images/M/MV5BMTAzNDIzMjQyMDReQTJeQWpwZ15BbWU4MDUwODQ0NTMx.jpg,"Two women descend into madness after an alleged meteor strike sets off a series of strange events in their town of Troy, N.Y.
Drama, Sci-Fi, Thriller
Daniel Garcia, Rania Attieh","Drama, Sci-Fi, Thriller"
15,tt2375574,2020-08-04,2020-08-04,"Amid the Civil War in 17th-century England, a group of deserters flee from battle through an overgrown field. Captured by an alchemist, the men are forced to help him search to find a hidden treasure that he believes is buried in the field.",A Field in England,https://www.imdb.com/title/tt2375574/,movie,6.2,90.0,2013,"Drama, History, Mystery",13080,2013-07-04,Ben Wheatley,,,"Amid the Civil War in 17th-century England, a group of deserters flee from battle through an overgrown field. Captured by an alchemist, the men are forced to help him search to find a hidden treasure that he believes is buried in the field.",https://m.media-amazon.com/images/M/MV5BMjcyNzQyMjI0NF5BMl5BanBnXkFtZTgwNjU2MDc5MDE@.jpg,"Amid the Civil War in 17th-century England, a group of deserters flee from battle through an overgrown field. Captured by an alchemist, the men are forced to help him search to find a hidden treasure that he believes is buried in the field.
Drama, History, Mystery
Ben Wheatley","Drama, History, Mystery"
16,tt7670212,2020-08-21,2020-08-21,A serial killer strikes fear in the hearts of residents of Hamburg during the early 1970s.,Der goldene Handschuh,https://www.imdb.com/title/tt7670212/,movie,6.7,115.0,2019,"Crime, Drama, Thriller",15322,2019-02-09,Fatih Akin,7.0,2021-12-02,A serial killer strikes fear in the hearts of residents of Hamburg during the early 1970s.,https://m.media-amazon.com/images/M/MV5BMjdlOWZiYjQtNDFkZi00NzZmLThlYWEtYWY4NjAyNDFjMjNkXkEyXkFqcGdeQXVyNTQwMDA5NTg@.jpg,"A serial killer strikes fear in the hearts of residents of Hamburg during the early 1970s.
Crime, Drama, Thriller
Fatih Akin","Crime, Drama, Thriller"
17,tt6304046,2020-08-21,2020-08-21,A confused religious girl tries to deny her feelings for a female friend who's in love with her. This causes her suppressed subconsciously-controlled psychokinetic powers to reemerge with devastating results.,Thelma,https://www.imdb.com/title/tt6304046/,movie,7.0,116.0,2017,"Drama, Fantasy, Horror, Mystery, Romance, Sci-Fi, Thriller",33217,2017-08-20,Joachim Trier,,,A confused religious girl tries to deny her feelings for a female friend who's in love with her. This causes her suppressed subconsciously-controlled psychokinetic powers to reemerge with devastating results.,https://m.media-amazon.com/images/M/MV5BYzllNGU5NWUtM2Q0ZC00ZWUwLTk1YzItNDcxYWRmMWM4YzIzXkEyXkFqcGdeQXVyMTA4NjE0NjEy.jpg,"A confused religious girl tries to deny her feelings for a female friend who's in love with her. This causes her suppressed subconsciously-controlled psychokinetic powers to reemerge with devastating results.
Drama, Fantasy, Horror, Mystery, Romance, Sci-Fi, Thriller
Joachim Trier","Drama, Fantasy, Horror, Mystery, Romance, Sci-Fi, Thriller"
18,tt7781432,2020-08-22,2020-08-22,An eccentric mortician recounts several macabre and phantasmagorical tales that he's encountered in his distinguished career.,The Mortuary Collection,https://www.imdb.com/title/tt7781432/,movie,6.4,108.0,2019,"Fantasy, Horror",13176,2019-09-21,Ryan Spindell,,,An eccentric mortician recounts several macabre and phantasmagorical tales that he's encountered in his distinguished career.,https://m.media-amazon.com/images/M/MV5BOTJkNGZkYjEtNDdjMy00NDYxLWE1MDYtNTgyMWNhOWRhZTBkXkEyXkFqcGdeQXVyNDc0MzY5MTk@.jpg,"An eccentric mortician recounts several macabre and phantasmagorical tales that he's encountered in his distinguished career.
Fantasy, Horror
Ryan Spindell","Fantasy, Horror"
19,tt8009906,2020-08-22,2020-08-22,"Another successful ""exorcism"" streamed online - or so it seems. Can the ""exorcist"", producer and their team bring the ratings up? Ratings skyrocket, when a real demon gets involved.",The Cleansing Hour,https://www.imdb.com/title/tt8009906/,movie,6.0,94.0,2019,"Drama, Fantasy, Horror, Mystery, Thriller",7005,2019-09-18,Damien LeVeck,,,"Another successful ""exorcism"" streamed online - or so it seems. Can the ""exorcist"", producer and their team bring the ratings up? Ratings skyrocket, when a real demon gets involved.",https://m.media-amazon.com/images/M/MV5BYTBmODVhM2EtMjI3Zi00N2NlLTg3ZWQtNDE5OWFkYmRlZTM1XkEyXkFqcGdeQXVyMzI3NzE2NzM@.jpg,"Another successful ""exorcism"" streamed online - or so it seems. Can the ""exorcist"", producer and their team bring the ratings up? Ratings skyrocket, when a real demon gets involved.
Drama, Fantasy, Horror, Mystery, Thriller
Damien LeVeck","Drama, Fantasy, Horror, Mystery, Thriller"
20,tt8150728,2020-08-22,2020-08-22,A social media prankster and his fiancée find their idyllic country weekend turn into the ultimate video prank where the stakes are life and death.,Making Monsters,https://www.imdb.com/title/tt8150728/,movie,5.5,82.0,2019,"Horror, Thriller",500,2019-09-05,"Justin Harding, Rob Brunner",,,A social media prankster and his fiancée find their idyllic country weekend turn into the ultimate video prank where the stakes are life and death.,https://m.media-amazon.com/images/M/MV5BZmEyYmNiOTAtOWU3OS00ZDdiLTgwYjUtNWYzMWVmYjJkMmExXkEyXkFqcGdeQXVyODYyMDU1MTI@.jpg,"A social media prankster and his fiancée find their idyllic country weekend turn into the ultimate video prank where the stakes are life and death.
Horror, Thriller
Justin Harding, Rob Brunner","Horror, Thriller"
21,tt0103793,2020-08-24,2020-08-24,"A 14-year-old video enthusiast obsessed with violent films decides to make one of his own and show it to his parents, with tragic results.",Benny's Video,https://www.imdb.com/title/tt0103793/,movie,7.2,110.0,1992,"Crime, Drama",17002,1992-05-13,Michael Haneke,7.0,2021-12-02,"A 14-year-old video enthusiast obsessed with violent films decides to make one of his own and show it to his parents, with tragic results.",https://m.media-amazon.com/images/M/MV5BMmY1MjUxOGItZjI1MS00YTQ0LTk0YjItNGZiZGVjNmNlYTczL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"A 14-year-old video enthusiast obsessed with violent films decides to make one of his own and show it to his parents, with tragic results.
Crime, Drama
Michael Haneke","Crime, Drama"
22,tt0910548,2020-08-24,2020-08-24,An internet advertisement placed by a man with a cannibalistic obsession brings yields a willing victim to serve up his own flesh in this dramatic account of the crime that shocked the world.,Cannibal,https://www.imdb.com/title/tt0910548/,video,4.9,89.0,2006,"Crime, Drama, Thriller",1481,2006-04-30,Marian Dora,,,An internet advertisement placed by a man with a cannibalistic obsession brings yields a willing victim to serve up his own flesh in this dramatic account of the crime that shocked the world.,https://m.media-amazon.com/images/M/MV5BNjA3MTMzNzc1MF5BMl5BanBnXkFtZTcwODI4OTY0MQ@@.jpg,"An internet advertisement placed by a man with a cannibalistic obsession brings yields a willing victim to serve up his own flesh in this dramatic account of the crime that shocked the world.
Crime, Drama, Thriller
Marian Dora","Crime, Drama, Thriller"
23,tt1392888,2020-08-24,2020-08-24,"Daniel and Ana, siblings and best friends are forced to deal with unimaginable trauma after they are kidnapped and forced to have sex on camera.",Daniel & Ana,https://www.imdb.com/title/tt1392888/,movie,6.1,90.0,2009,"Drama, Thriller",1784,2009-05-18,Michel Franco,,,"Daniel and Ana, siblings and best friends are forced to deal with unimaginable trauma after they are kidnapped and forced to have sex on camera.",https://m.media-amazon.com/images/M/MV5BMjIzMjU5NzU5OV5BMl5BanBnXkFtZTcwMzU3MjI3Mw@@.jpg,"Daniel and Ana, siblings and best friends are forced to deal with unimaginable trauma after they are kidnapped and forced to have sex on camera.
Drama, Thriller
Michel Franco","Drama, Thriller"
24,tt0108053,2020-08-24,2020-08-24,"As serial killer Lothar Schramm lies dying in his own blood, horrific memories of his miserable life of paranoia, self-harm and rejection flash before his eyes. A tragic look into the mind of a serial killer.",Schramm,https://www.imdb.com/title/tt0108053/,movie,5.7,65.0,1993,Horror,3218,1993-12-31,Jörg Buttgereit,,,"As serial killer Lothar Schramm lies dying in his own blood, horrific memories of his miserable life of paranoia, self-harm and rejection flash before his eyes. A tragic look into the mind of a serial killer.",https://m.media-amazon.com/images/M/MV5BNTcxODIwZDItM2VjOS00NDUyLTgwMmYtMGQ5MjllOWM2NmNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"As serial killer Lothar Schramm lies dying in his own blood, horrific memories of his miserable life of paranoia, self-harm and rejection flash before his eyes. A tragic look into the mind of a serial killer.
Horror
Jörg Buttgereit",Horror
25,tt0296042,2020-08-24,2020-08-24,"As sadomasochistic yakuza enforcer Kakihara searches for his missing boss he comes across Ichi, a repressed and psychotic killer who may be able to inflict levels of pain that Kakihara has only dreamed of achieving.",Koroshiya 1,https://www.imdb.com/title/tt0296042/,movie,7.0,129.0,2001,"Action, Crime, Drama",56986,2001-09-14,Takashi Miike,,,"As sadomasochistic yakuza enforcer Kakihara searches for his missing boss he comes across Ichi, a repressed and psychotic killer who may be able to inflict levels of pain that Kakihara has only dreamed of achieving.",https://m.media-amazon.com/images/M/MV5BNDZmOWE3M2YtMDNkNC00YzFmLTljZTItNTk3NTlkODIxNGE3XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"As sadomasochistic yakuza enforcer Kakihara searches for his missing boss he comes across Ichi, a repressed and psychotic killer who may be able to inflict levels of pain that Kakihara has only dreamed of achieving.
Action, Crime, Drama
Takashi Miike","Action, Crime, Drama"
26,tt0090197,2020-08-24,2020-08-24,"A former nazi child-killer is confined in an iron lung inside an old mansion after a suicide attempt. His wife hires him a full-time carer, a mysterious young man who is driven slowly mad by the old man's disturbing past.",Tras el cristal,https://www.imdb.com/title/tt0090197/,movie,6.8,110.0,1986,"Drama, Horror",4686,1986-03-05,Agustí Villaronga,,,"A former nazi child-killer is confined in an iron lung inside an old mansion after a suicide attempt. His wife hires him a full-time carer, a mysterious young man who is driven slowly mad by the old man's disturbing past.",https://m.media-amazon.com/images/M/MV5BZGQ4NjY2ODMtMzY2Ni00YzVhLTg0NTYtNDc3NWRhMGVjYmYyXkEyXkFqcGdeQXVyMTA0MjU0Ng@@.jpg,"A former nazi child-killer is confined in an iron lung inside an old mansion after a suicide attempt. His wife hires him a full-time carer, a mysterious young man who is driven slowly mad by the old man's disturbing past.
Drama, Horror
Agustí Villaronga","Drama, Horror"
27,tt0119361,2020-08-24,2020-08-24,"Two business executives--one an avowed misogynist, the other recently emotionally wounded by his love interest--set out to exact revenge on the female gender by seeking out the most innocent, uncorrupted girl they can find and ruining her life.",In the Company of Men,https://www.imdb.com/title/tt0119361/,movie,7.1,97.0,1997,"Comedy, Drama",13874,1997-01-19,Neil LaBute,6.0,2021-12-02,"Two business executives--one an avowed misogynist, the other recently emotionally wounded by his love interest--set out to exact revenge on the female gender by seeking out the most innocent, uncorrupted girl they can find and ruining her life.",https://m.media-amazon.com/images/M/MV5BYmFiZTI1MDUtNGYyMi00ZTRkLWE1Y2UtZWY0ZDZiZTBiMjRmXkEyXkFqcGdeQXVyMTAwMzUyOTc@.jpg,"Two business executives--one an avowed misogynist, the other recently emotionally wounded by his love interest--set out to exact revenge on the female gender by seeking out the most innocent, uncorrupted girl they can find and ruining her life.
Comedy, Drama
Neil LaBute","Comedy, Drama"
28,tt2149360,2020-08-24,2020-08-24,A horror-obsessed boy discovers his older brother is a serial killer.,Found,https://www.imdb.com/title/tt2149360/,movie,5.8,103.0,2012,"Drama, Horror, Thriller",4597,2012-07-14,Scott Schirmer,6.0,2021-12-02,A horror-obsessed boy discovers his older brother is a serial killer.,https://m.media-amazon.com/images/M/MV5BMTQ3OTc3MDI1MF5BMl5BanBnXkFtZTgwNTk2NzkzMjE@.jpg,"A horror-obsessed boy discovers his older brother is a serial killer.
Drama, Horror, Thriller
Scott Schirmer","Drama, Horror, Thriller"
29,tt7453418,2020-09-18,2020-09-18,A man discovers that he is part of a secret sect of magical beings who hunt down and destroy demons in the Internet.,Nekrotronic,https://www.imdb.com/title/tt7453418/,movie,5.6,99.0,2018,"Action, Comedy, Horror, Sci-Fi",3208,2018-09-08,Kiah Roache-Turner,,,A man discovers that he is part of a secret sect of magical beings who hunt down and destroy demons in the Internet.,https://m.media-amazon.com/images/M/MV5BZmVhNGM2NTctZTg3NS00YTM0LTg5YjAtMDAxZjQxN2ZlMzAyXkEyXkFqcGdeQXVyNTk4NzMzOTM@.jpg,"A man discovers that he is part of a secret sect of magical beings who hunt down and destroy demons in the Internet.
Action, Comedy, Horror, Sci-Fi
Kiah Roache-Turner","Action, Comedy, Horror, Sci-Fi"
30,tt0106664,2020-09-22,2020-09-22,A writer's fictional alter ego wants to take over his life...at any price.,The Dark Half,https://www.imdb.com/title/tt0106664/,movie,6.0,122.0,1993,"Horror, Mystery, Thriller",18120,1993-04-23,George A. Romero,,,A writer's fictional alter ego wants to take over his life...at any price.,https://m.media-amazon.com/images/M/MV5BYWNjYTg3MDAtNjZjNC00YmMzLTg0ZGUtNTBjYWI0NmUwZDNmXkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg,"A writer's fictional alter ego wants to take over his life...at any price.
Horror, Mystery, Thriller
George A. Romero","Horror, Mystery, Thriller"
31,tt0086567,2020-09-26,2020-09-26,"A young man finds a back door into a military central computer in which reality is confused with game-playing, possibly starting World War III.",WarGames,https://www.imdb.com/title/tt0086567/,movie,7.1,114.0,1983,"Action, Drama, Sci-Fi, Thriller",101921,1983-05-19,John Badham,6.0,2021-12-02,"A young man finds a back door into a military central computer in which reality is confused with game-playing, possibly starting World War III.",https://m.media-amazon.com/images/M/MV5BZDA4M2UwMzUtZDkxMy00YjYwLTliZGEtNGMwYzI0NTgwMjA3XkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg,"A young man finds a back door into a military central computer in which reality is confused with game-playing, possibly starting World War III.
Action, Drama, Sci-Fi, Thriller
John Badham","Action, Drama, Sci-Fi, Thriller"
32,tt0177789,2020-09-26,2020-09-26,"The alumni cast of a space opera television series have to play their roles as the real thing when an alien race needs their help. However, they also have to defend both Earth and the alien race from a reptilian warlord.",Galaxy Quest,https://www.imdb.com/title/tt0177789/,movie,7.4,102.0,1999,"Adventure, Comedy, Sci-Fi",165542,1999-12-23,Dean Parisot,8.0,2021-12-02,"The alumni cast of a space opera television series have to play their roles as the real thing when an alien race needs their help. However, they also have to defend both Earth and the alien race from a reptilian warlord.",https://m.media-amazon.com/images/M/MV5BNmZlNTY5YjQtZTU5ZC00MzcyLWI1NDMtNjA0ZjQxMmQwYjJmL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,"The alumni cast of a space opera television series have to play their roles as the real thing when an alien race needs their help. However, they also have to defend both Earth and the alien race from a reptilian warlord.
Adventure, Comedy, Sci-Fi
Dean Parisot","Adventure, Comedy, Sci-Fi"
33,tt0204700,2020-09-29,2020-09-29,"Two American newlyweds in Paris experience a love so strong, it almost devours them.",Trouble Every Day,https://www.imdb.com/title/tt0204700/,movie,5.9,101.0,2001,"Drama, Horror, Thriller",8459,2001-05-13,Claire Denis,,,"Two American newlyweds in Paris experience a love so strong, it almost devours them.",https://m.media-amazon.com/images/M/MV5BNDA2MjgzZTQtZjQwOC00NTM1LTk3MDYtY2FiMGY5MTJiMTA0XkEyXkFqcGdeQXVyMTA2ODMzMDU@.jpg,"Two American newlyweds in Paris experience a love so strong, it almost devours them.
Drama, Horror, Thriller
Claire Denis","Drama, Horror, Thriller"
34,tt8201852,2020-09-30,2020-09-30,"A former banker, his actress wife, and their spirited daughter book a vacation at an isolated modern home in the Welsh countryside where nothing is quite as it seems.",You Should Have Left,https://www.imdb.com/title/tt8201852/,movie,5.4,93.0,2020,"Horror, Thriller",22092,2020-06-05,David Koepp,5.0,2021-12-02,"A former banker, his actress wife, and their spirited daughter book a vacation at an isolated modern home in the Welsh countryside where nothing is quite as it seems.",https://m.media-amazon.com/images/M/MV5BYTMxMTJhNWQtYzQwMC00MThhLTkzNjMtMDljMGE1MmE1NWM2XkEyXkFqcGdeQXVyODkxMzcxOTY@.jpg,"A former banker, his actress wife, and their spirited daughter book a vacation at an isolated modern home in the Welsh countryside where nothing is quite as it seems.
Horror, Thriller
David Koepp","Horror, Thriller"
35,tt0093260,2020-10-01,2020-10-01,"A test pilot is miniaturized in a secret experiment, and accidentally injected into a hapless store clerk.",Innerspace,https://www.imdb.com/title/tt0093260/,movie,6.8,120.0,1987,"Action, Adventure, Comedy, Sci-Fi, Thriller",61006,1987-07-01,Joe Dante,7.0,2021-12-02,"A test pilot is miniaturized in a secret experiment, and accidentally injected into a hapless store clerk.",https://m.media-amazon.com/images/M/MV5BNDk1NzNiMGQtNGQ4Yy00NmMzLTkyNWQtZjM4MDU2Y2Q2NDVlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"A test pilot is miniaturized in a secret experiment, and accidentally injected into a hapless store clerk.
Action, Adventure, Comedy, Sci-Fi, Thriller
Joe Dante","Action, Adventure, Comedy, Sci-Fi, Thriller"
